duplicate_group_id,event_id,source,similarity_reason,duplicate_type,canonical_record,keep_for_training,notes
GRP-00095,EVT-BSEE-0095,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00096,EVT-BSEE-0096,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00097,EVT-BSEE-0097,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00098,EVT-BSEE-0098,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00099,EVT-BSEE-0099,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00100,EVT-BSEE-0100,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00101,EVT-BSEE-0101,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00102,EVT-BSEE-0102,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00103,EVT-BSEE-0103,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00104,EVT-BSEE-0104,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00105,EVT-BSEE-0105,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00106,EVT-BSEE-0106,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00107,EVT-BSEE-0107,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00108,EVT-BSEE-0108,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00109,EVT-BSEE-0109,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00110,EVT-BSEE-0110,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00111,EVT-BSEE-0111,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00112,EVT-BSEE-0112,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00113,EVT-BSEE-0113,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00114,EVT-BSEE-0114,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00115,EVT-BSEE-0115,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00116,EVT-BSEE-0116,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00117,EVT-BSEE-0117,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00118,EVT-BSEE-0118,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00119,EVT-BSEE-0119,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00120,EVT-BSEE-0120,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00121,EVT-BSEE-0121,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00122,EVT-BSEE-0122,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00123,EVT-BSEE-0123,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00124,EVT-BSEE-0124,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00125,EVT-BSEE-0125,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00126,EVT-BSEE-0126,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00127,EVT-BSEE-0127,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00128,EVT-BSEE-0128,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00129,EVT-BSEE-0129,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00130,EVT-BSEE-0130,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00131,EVT-BSEE-0131,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00132,EVT-BSEE-0132,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00133,EVT-BSEE-0133,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00134,EVT-BSEE-0134,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00135,EVT-BSEE-0135,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00136,EVT-BSEE-0136,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00137,EVT-BSEE-0137,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00138,EVT-BSEE-0138,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00139,EVT-BSEE-0139,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00140,EVT-BSEE-0140,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00141,EVT-BSEE-0141,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00142,EVT-BSEE-0142,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00143,EVT-BSEE-0143,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00144,EVT-BSEE-0144,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00145,EVT-BSEE-0145,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00146,EVT-BSEE-0146,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00147,EVT-BSEE-0147,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00148,EVT-BSEE-0148,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00149,EVT-BSEE-0149,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00150,EVT-BSEE-0150,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00151,EVT-BSEE-0151,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00152,EVT-BSEE-0152,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00153,EVT-BSEE-0153,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00154,EVT-BSEE-0154,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00155,EVT-BSEE-0155,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00156,EVT-BSEE-0156,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00157,EVT-BSEE-0157,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00158,EVT-BSEE-0158,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00159,EVT-BSEE-0159,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
