event_id,source_organization,document_id,url,reason,audit_status,possible_recovery,review_required
EVT-BSEE-0115,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0115,https://www.bsee.gov/safety-alerts/bsee-safety-alert-402-deficiencies-in-process-piping-cause-gas-release-incidents,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0116,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0116,https://www.bsee.gov/safety-alerts/bsee-safety-alert-401-bsee-identifies-improvements-to-hurricane-preparedness-during,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0117,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0117,https://www.bsee.gov/safety-alerts/bsee-safety-alert-400-trapped-pressure-ejects-rod-from-chamber-and-strikes-subsea,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0118,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0118,https://www.bsee.gov/safety-alerts/bsee-safety-alert-399-grating-failures-cause-a-fatality-and-a-serious-near-miss,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0119,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0119,https://www.bsee.gov/safety-alerts/bsee-safety-alert-398-lifeboat-failures-and-damage-occur-during-maintenance,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0120,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0120,https://www.bsee.gov/safety-alerts/bsee-safety-alert-397-fire-tube-hazards-increase-risk-of-flame-migration,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0121,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0121,https://www.bsee.gov/safety-alerts/bsee-safety-alert-396-risk-of-fires-from-adjustable-speed-drives-asds,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0122,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0122,https://www.bsee.gov/safety-alerts/bsee-safety-alert-395-electrical-equipment-in-hazardous-locations-increase-risk-of,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0123,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0123,https://www.bsee.gov/safety-alerts/bsee-safety-alert-394-recently-discovered-cybersecurity-vulnerabilities-may-impact,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0124,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0124,https://www.bsee.gov/safety-alerts/safety-alert-393-adverse-weather-and-sea-conditions-complicate-dynamic-lifts,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0125,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0125,https://www.bsee.gov/safety-alerts/safety-alert-392-personnel-transfer-injuries-escalate-over-1-year-period,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0126,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0126,https://www.bsee.gov/safety-alerts/safety-alert-391-improper-use-of-equipment-results-in-shock-loaded-crane-and-damaged,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0127,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0127,https://www.bsee.gov/safety-alerts/safety-alert-390-incorrect-elevator-assembly-injures-an-electric-line-helper,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0128,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0128,https://www.bsee.gov/safety-alerts/safety-alert-389-fatality-caused-by-freefalling-pipe-underscores-the-need-to-adhere-to,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0129,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0129,https://www.bsee.gov/safety-alerts/safety-alert-388-malfunctioning-storage-batteries-cause-fires-and-explosions,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0130,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0130,https://www.bsee.gov/safety-alerts/bsee-safety-alert-387-chemical-packing-leads-to-fire-extinguisher-failure,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0131,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0131,https://www.bsee.gov/safety-alerts/bsee-safety-alert-386-turbo-and-exhaust-manifold-fires-related-to-engines,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0132,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0132,https://www.bsee.gov/safety-alerts/bsee-safety-alert-385-improper-installation-of-safety-device,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0133,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0133,https://www.bsee.gov/safety-alerts/bsee-safety-alert-384-preventing-static-discharge,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0134,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0134,https://www.bsee.gov/safety-alerts/safety-alert-383-lifting-incidents-involving-tote-tanks,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0135,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0135,https://www.bsee.gov/safety-alerts/bsee-safety-alert-382-bseesafe-subscribers,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0136,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0136,https://www.bsee.gov/safety-alerts/bsee-safety-alert-381-common-operator-deficiencies-discovered-by-sems,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0137,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0137,https://www.bsee.gov/safety-alerts/safety-alert-380-subsea-jumper-failure-leads-to-leak,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0138,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0138,https://www.bsee.gov/safety-alerts/safety-alert-379-broken-compressor-heat-exchanger-causes-fire,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0139,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0139,https://www.bsee.gov/safety-alerts/safety-alert-378-unsecured-trough-drain-grating-poses-tripping-hazard,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0140,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0140,https://www.bsee.gov/safety-alerts/safety-alert-377-improperly-bypassed-safety-devices-poses-work-and-environmental,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0141,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0141,https://www.bsee.gov/safety-alerts/safety-alert-376-rig-floorman-pinned-by-moving-equipment,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0142,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0142,https://www.bsee.gov/safety-alerts/safety-alert-375-oem-publishes-safety-notice-on-defective-shackles,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0143,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0143,https://www.bsee.gov/safety-alerts/safety-alert-374-air-compressor-flaws-lead-to-engine-fire,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0144,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0144,https://www.bsee.gov/safety-alerts/safety-alert-373-lightning-strikes-threaten-aircraft-on-helidecks,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0145,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0145,https://www.bsee.gov/safety-alerts/safety-alert-372-improper-use-of-equipment-causes-blasting-cap-misfire,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0146,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0146,https://www.bsee.gov/safety-alerts/safety-alert-371-conductor-failures-put-workers-safety-and-the-environment-at-risk,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0147,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0147,https://www.bsee.gov/safety-alerts/safety-alert-370-overcharged-battery-in-non-ventilated-box,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0148,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0148,https://www.bsee.gov/safety-alerts/safety-alert-369-non-oem-parts-were-significant-causal-factors-in-two-recent-loss-of,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0149,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0149,https://www.bsee.gov/safety-alerts/inadvertent-opening-of-valve-under-pressure-causes-injury,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0150,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0150,https://www.bsee.gov/safety-alerts/safety-alert-367-saturated-glycol-handling-leads-to-fire,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0151,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0151,https://www.bsee.gov/safety-alerts/safety-alert-366-dangerous-levels-of-h2s-detected-at-offshore-facilities,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0152,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0152,https://www.bsee.gov/safety-alerts/safety-alert-365-bsee-identified-grating-and-open-hole-hazards-during-risk-based,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0153,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0153,https://www.bsee.gov/safety-alerts/safety-alert-364-improper-riser-tension-leads-to-subsea-bop-falling-off-wellhead,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0154,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0154,https://www.bsee.gov/safety-alerts/safety-alert-362-poor-tag-line-awareness-leads-to-multiple-incidents,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0155,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0155,https://www.bsee.gov/safety-alerts/safety-alert-361-multiple-crane-incidents-during-heavy-lifting-operations,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0156,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0156,https://www.bsee.gov/safety-alerts/safety-alert-360-collision-leads-to-significant-near-miss,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0157,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0157,https://www.bsee.gov/safety-alerts/safety-alert-359-unsafe-use-of-pipe-wrenches-discovered-during-inspection,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0158,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0158,https://www.bsee.gov/safety-alerts/safety-alert-358-dislodged-boom-pawl-pin-unnoticed-by-crane-operator-during-pre-use,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0159,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0159,https://www.bsee.gov/safety-alerts/safety-alert-357-reporting-unsafe-work-conditions,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0160,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0160,https://www.bsee.gov/safety-alerts/safety-alert-356-pipeline-pigs-inadvertently-launched-in-close-proximity-of-personnel,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0161,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0161,https://www.bsee.gov/safety-alerts/safety-alert-355-recent-safety-notices-on-deficient-harnesses-and-gloves,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0162,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0162,https://www.bsee.gov/safety-alerts/safety-alert-354-fire-in-smoking-area-linked-to-cigarette-butt-container,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0163,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0163,https://www.bsee.gov/safety-alerts/safety-alert-353-offshore-employees-fall-through-grating-and-open-hole,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0164,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0164,https://www.bsee.gov/safety-alerts/safety-alert-352-boat-landing-incident,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0165,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0165,https://www.bsee.gov/safety-alerts/safety-alert-351-bsee-identifies-rig-operations-hazards-during-risk-based-inspections,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0166,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0166,https://www.bsee.gov/safety-alerts/safety-alert-350-fires-on-facilities-caused-by-use-of-outdoor-grills,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0169,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0169,https://www.bsee.gov/safety-alerts/safety-alert-347-dropped-riser-joint-nearly-crushes-floorhand,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0173,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0173,https://www.bsee.gov/safety-alerts/safety-alert-343-working-at-heights-near-or-over-water,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0174,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0174,https://www.bsee.gov/safety-alerts/safety-alert-342-hydraulic-boom-cylinder-failures,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0276,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0276,https://www.bsee.gov/safety-alerts/incident-and-investigations/safety-alert-239-casing-bleed-down-into-plastic-drum,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0277,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0277,https://www.bsee.gov/safety-alerts/safety/safety-alert-238-floorhand-crushed-during-a-through-rotary-man-riding-operation,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0289,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0289,https://www.bsee.gov/safety-alerts/safety/safety-alert-230-equipment-failure-on-deepwater-rig-while-running-casing-in,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0306,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0306,https://www.bsee.gov/safety-alerts/safety/safety-alert-213-marine-riser-failure,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0337,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0337,https://www.bsee.gov/safety-alerts/safety/safety-alert-182-post-hurricane-startup-procedures-fail-to-identify-pipeline,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0341,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0341,https://www.bsee.gov/safety-alerts/safety/safety-alert-178-trawl-net-snags-pipeline-resulting-in-oil-spill,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0342,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0342,https://www.bsee.gov/safety-alerts/safety/safety-alert-177-casing-blowdown-accident-and-fatality,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0354,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0354,https://www.bsee.gov/safety-alerts/safety/safety-alert-165-shallow-gas-flows-while-cementing-surface-casing,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0357,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0357,https://www.bsee.gov/safety-alerts/safety/safety-alert-162-accidents-on-the-ocs-involving-drilling-rigs-derrick-barges,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0359,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0359,https://www.bsee.gov/safety-alerts/safety/safety-alert-160-exposed-subsea-valve-assemblies-create-hazards,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0360,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0360,https://www.bsee.gov/safety-alerts/safety/safety-alert-159-welder-burned-in-pipeline-accident,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
