event_id,source_tier,dataset_tier,source_quality,extraction_quality,label_quality,overall_quality,has_document_sha256,has_energy,has_barriers,sif_label_type
"EVT-BSEE-0030","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0031","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0032","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0033","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0034","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0035","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0036","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0037","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0038","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0039","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0040","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0041","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0042","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0043","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0044","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0045","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0046","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0047","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0048","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0049","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0050","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0051","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0052","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0053","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0054","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0055","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0056","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0057","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0058","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0059","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0060","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0061","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0062","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0063","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0064","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0065","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0066","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0067","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0068","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0069","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0070","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0071","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0072","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0073","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0074","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0075","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0076","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0077","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0078","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0079","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0080","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0081","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0082","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0083","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0084","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0085","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0086","TIER_A_AUTHORITATIVE","SILVER","HIGH","HIGH","MEDIUM","HIGH","true","true","false","DERIVED"
"EVT-BSEE-0087","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0088","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0089","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0090","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0091","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0092","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0093","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0094","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0095","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0096","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0097","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0098","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0099","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0100","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0101","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0102","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0103","TIER_A_AUTHORITATIVE","SILVER","HIGH","HIGH","MEDIUM","HIGH","true","true","false","DERIVED"
"EVT-BSEE-0104","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","UNKNOWN"
"EVT-BSEE-0105","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0106","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0107","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0108","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0109","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0110","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0111","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0112","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0113","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0114","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0115","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0116","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0117","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0118","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0119","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0120","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0121","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0122","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","true","false","DERIVED"
"EVT-BSEE-0123","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0124","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0125","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0126","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0127","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0128","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0129","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0130","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0131","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0132","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0133","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0134","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0135","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","false","UNKNOWN"
"EVT-BSEE-0136","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0137","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","UNKNOWN"
"EVT-BSEE-0138","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0139","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0140","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0141","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0142","TIER_A_AUTHORITATIVE","SILVER","HIGH","HIGH","MEDIUM","HIGH","true","true","false","UNKNOWN"
"EVT-BSEE-0143","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0144","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0145","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0146","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0147","TIER_A_AUTHORITATIVE","SILVER","HIGH","HIGH","HIGH","HIGH","true","true","false","EXPLICIT"
"EVT-BSEE-0148","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0149","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0150","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0151","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0152","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0153","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0154","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0155","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0156","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0157","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0158","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0159","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0160","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0161","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","UNKNOWN"
"EVT-BSEE-0162","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0163","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0164","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0165","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0166","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0167","TIER_A_AUTHORITATIVE","SILVER","HIGH","HIGH","MEDIUM","HIGH","true","true","false","DERIVED"
"EVT-BSEE-0168","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0169","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0170","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","false","UNKNOWN"
"EVT-BSEE-0171","TIER_A_AUTHORITATIVE","SILVER","HIGH","HIGH","MEDIUM","HIGH","true","true","false","DERIVED"
"EVT-BSEE-0172","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0173","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","false","UNKNOWN"
"EVT-BSEE-0174","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","true","false","DERIVED"
"EVT-BSEE-0175","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0176","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0177","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0178","TIER_A_AUTHORITATIVE","SILVER","HIGH","HIGH","MEDIUM","HIGH","true","true","false","DERIVED"
"EVT-BSEE-0179","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0180","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0181","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0182","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0183","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0184","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0185","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0186","TIER_A_AUTHORITATIVE","SILVER","HIGH","HIGH","MEDIUM","HIGH","true","true","false","DERIVED"
"EVT-BSEE-0187","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0188","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0189","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0190","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0191","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0192","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0193","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
"EVT-BSEE-0194","TIER_A_AUTHORITATIVE","SILVER","HIGH","HIGH","MEDIUM","HIGH","true","true","false","DERIVED"
"EVT-BSEE-0195","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0196","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
