source_id,alert_number,source_title,source_organization,source_url,document_date,pdf_present,pdf_sha256,contains_mma_notice,audit_classification,forensic_findings
SRC-BSEE-0231,285,Safety Alert 285 - Compressor Starter Exhaust Flash Fire,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/incident-and-investigations/sa-285pdf,N/A,YES,bd3049f6621150a140d5accf39c1d51d91b4ab1f5730389ebc18ebcbf68d23e9,NO,SOURCE_CONFIRMED,Official BSEE Safety Alert No. 285 (N/A). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed.
SRC-BSEE-0254,261,Safety Alert 261 - Manually Operated Drains,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-261-manually-operated-drains-april-30-2008,N/A,YES,16064de491b6cd8542d26c1b3e7be994bfc4f718f5ae0bc3f5821714d1bd91ff,NO,SOURCE_CONFIRMED,Official BSEE Safety Alert No. 261 (N/A). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed.
SRC-BSEE-0277,238,Safety Alert 238 - Floorhand Crushed During a Through-Rotary Man-Riding Operation,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-238-floorhand-crushed-during-a-through-rotary-man-riding-operation,N/A,NO,,NO,UNVERIFIED,No local PDF or extracted text artifact on disk; record originates from catalog metadata.
SRC-BSEE-0300,219,Safety Alert 219 - Loss of Well Control While Drilling Surface Hole,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-219-loss-of-well-control-while-drilling-surface-hole,"February 9, 2004",YES,9512694e340e1378dc4451634347caa4950a7809bcf2d8360e99ee86889f87e9,NO,SOURCE_CONFIRMED,"Official BSEE Safety Alert No. 219 (February 9, 2004). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed."
SRC-BSEE-0323,196,Safety Alert 196 - Cranes,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-196-cranes,"July 23, 2001",YES,2b0ecdef699eb0e6ce758b40bf3cae681a003e8a449d08475583de49957b7cf8,NO,SOURCE_CONFIRMED,"Official BSEE Safety Alert No. 196 (July 23, 2001). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed."
SRC-BSEE-0346,173,Safety Alert 173 - Pig Launcher Explosion Results in Two Fatalities,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-173-pig-launcher-explosion-results-in-two-fatalities,"August 28, 1997",YES,c84e44706a765d7be21204008a58ebb281ef20b04fa0903d8d93f429fcd49433,NO,SOURCE_CONFIRMED,"Official BSEE Safety Alert No. 173 (August 28, 1997). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed."
SRC-BSEE-0369,150,Safety Alert 150 - Fire Occurs During Cutting Operation to Install Casing Head,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-150-fire-occurs-during-cutting-operation-to-install-casing-head,"July 24, 1986",YES,9352d8caa359cbefcbe2e930f3e83cc61d538084701eb4444afd275a06815562,NO,SOURCE_CONFIRMED,"Official BSEE Safety Alert No. 150 (July 24, 1986). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed."
SRC-BSEE-0392,127,Safety Alert 127 - Injury While Retesting Blowout Preventers,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/blowout-prevention/safety-alert-127-injury-while-retesting-blowout-preventers,N/A,NO,,NO,UNVERIFIED,No local PDF or extracted text artifact on disk; record originates from catalog metadata.
SRC-BSEE-0415,104,Safety Alert 104 - Crane Accident,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-104-crane-accident,N/A,NO,,NO,UNVERIFIED,No local PDF or extracted text artifact on disk; record originates from catalog metadata.
SRC-BSEE-0438,82,Safety Alert 82 - Compressor Fires,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/incident-and-investigations/safety-alert-82-compressor-fires,N/A,NO,,NO,UNVERIFIED,No local PDF or extracted text artifact on disk; record originates from catalog metadata.
SRC-BSEE-0461,59,Safety Alert 59 - Compressor Explosion,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/incident-and-investigations/safety-alert-59-compressor-explosion,N/A,NO,,NO,UNVERIFIED,No local PDF or extracted text artifact on disk; record originates from catalog metadata.
SRC-BSEE-0484,45,"Safety Alert 45 - Arguello Inc. Production Department, Platform Harvest",Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-45-arguello-inc-production-department-platform-harvest,N/A,NO,,NO,UNVERIFIED,No local PDF or extracted text artifact on disk; record originates from catalog metadata.
SRC-BSEE-0507,34,"Safety Alert 34 - Exxon Company, U.S.A. Platforms Harmony and Heritage Production",Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-34-exxon-company-usa-platforms-harmony-and-heritage-production,N/A,NO,,NO,UNVERIFIED,No local PDF or extracted text artifact on disk; record originates from catalog metadata.
SRC-BSEE-0530,22,Safety Alert 22 - Hydrogen Sulfide (H2S) Gas Release from Piping Corrosion Failure Near a Weld,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-22-hydrogen-sulfide-h2s-gas-release-from-piping-corrosion-failure,N/A,NO,,NO,UNVERIFIED,No local PDF or extracted text artifact on disk; record originates from catalog metadata.
SRC-BSEE-0553,15,"Safety Alert 15 - Shell California Production Inc., Beta Production",Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-15-shell-california-production-inc-beta-production,N/A,NO,,NO,UNVERIFIED,No local PDF or extracted text artifact on disk; record originates from catalog metadata.
